node_id,genome_id,degree_centrality,betweeness_centrality,eigenvector_centrality,degree,layer
300,Palsa.Unlabelled.R1.T3.F2.trimmomatic.metaspades_bin.96_80.51_1.15,,,,,7
301,Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.100_93.16_1.99,0.0722891566265,0.00615228590322,-1.8396920649990249e-16,12,7
302,20120600_P3M_9,0.0361445783133,0.000109529025192,-7.12957127058331e-18,6,7
303,3300037233_9,,,,,7
304,20120600_P3M_6,0.00602409638554,0.0,-2.9536482170837625e-17,1,7
305,20120600_P3M_5,0.0361445783133,0.00023076432715,-1.2365347835410686e-16,6,7
306,20120600_P3M_4,0.0421686746988,0.00729610495159,-1.4346292586017754e-17,7,7
307,20120600_P3M_3,0.0602409638554,0.00259584066828,1.7309078772839403e-17,10,7
node_id,genome_id,,,,,7
229,20120600_E2D_21,,,,,7
228,20110800_P2D_1,,,,,7
227,PNAZ01,,,,,7
226,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.263_87.12_8.86,,,,,7
225,20170700_P14_3,0.0542168674699,0.155505640155,3.492165885863853e-07,9,7
224,20120700_P3D_119,0.0240963855422,0.0,0.09452199394635051,4,7
223,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.146_89.53_8.55,,,,,7
222,20120700_P3D_89,,,,,7
221,20120700_P3D_83,0.0421686746988,0.013922170631,0.052127105795284304,7,7
220,3300037394_5,0.0361445783133,0.0290690032859,6.932149506569736e-05,6,7
114,20150700_P21_2,0.078313253012,0.00749804882116,1.9240625532390544e-17,13,7
391,20111000_P3M_45,,,,,7
390,20111000_P3M_44,,,,,7
151,20120700_P3D_43,,,,,7
150,20120500_P32_2,0.0361445783133,0.130076670318,0.017552210294041866,6,7
153,20120700_P3D_46,0.0120481927711,0.0,0.04552231524708494,2,7
152,20120500_P32_6,0.066265060241,0.0256419959812,2.510138842351662e-08,11,7
155,20120700_P3D_48,,,,,7
154,20160700_S14_9,,,,,7
157,20120500_P32_8,0.00602409638554,0.0,0.001501172693251547,1,7
156,20120700_P1M_6,0.0361445783133,0.0641085554339,6.48363522399186e-05,6,7
159,20110800_E3D_9,,,,,7
158,20120700_P1M_1,0.00602409638554,0.0,-1.6702633067245496e-18,1,7
112,20170700_P33_1,,,,,7
83,PMOM01,0.0602409638554,0.000500246211408,0.22092965417505442,10,7
399,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.239_79.17_2.28,,,,,7
398,3300037316_10,,,,,7
48,20120700_P3D_64,,,,,7
49,PLYD01,,,,,7
46,PLWZ01,0.0301204819277,0.00173138626557,1.328494396040221e-08,5,7
47,20150700_P24_5,0.00602409638554,0.0,3.492117721245625e-10,1,7
44,20120700_P3D_66,,,,,7
45,3300037180_6,0.0180722891566,0.0,3.1855450132990373e-06,3,7
42,20150700_P24_8,0.078313253012,0.0251617024148,3.9501778906501285e-08,13,7
43,20110700_P2D_27,,,,,7
40,3300037104_22,,,,,7
41,Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.58_71.79_7.57,,,,,7
