value,Var1,Var2,Depth1,Depth2,Year1,Year2,Habitat1,Habitat2,year_comparison
0.62116647,X711_P.2.S,X712_P.1.S,0-9,0-9,2011,2012,Palsa,Palsa,between
0.61852401,X711_P.2.S,X712_P.2.S,0-9,0-9,2011,2012,Palsa,Palsa,between
0.3461707,X711_P.2.S,X712_P.3.S,0-9,0-9,2011,2012,Palsa,Palsa,between
0.681146,X711_P.2.S,X713_P.3.M,0-9,0-9,2011,2013,Palsa,Palsa,between
0.70664734,X711_P.2.S,X715_P1_1.5,0-9,0-9,2011,2015,Palsa,Palsa,between
0.52440582,X711_P.2.S,X715_P2_1.5,0-9,0-9,2011,2015,Palsa,Palsa,between
0.59891821,X711_P.2.S,X715_P3_1.5,0-9,0-9,2011,2015,Palsa,Palsa,between
0.70675304,X711_P.2.S,X716_P1_1.5,0-9,0-9,2011,2016,Palsa,Palsa,between
0.59862175,X711_P.2.S,X716_P2_1.5,0-9,0-9,2011,2016,Palsa,Palsa,between
0.76374951,X711_P.2.S,X716_P3_1.5,0-9,0-9,2011,2016,Palsa,Palsa,between
0.33097657,X711_P.2.S,X717_P2_1.5,0-9,0-9,2011,2017,Palsa,Palsa,between
0.66518238,X711_P.2.S,X717_P3_1.5,0-9,0-9,2011,2017,Palsa,Palsa,between
0.60403924,X711_P.2.M,X712_P.1.M,10-19,10-19,2011,2012,Palsa,Palsa,between
0.61191091,X711_P.2.M,X712_P.2.M,10-19,10-19,2011,2012,Palsa,Palsa,between
0.53011401,X711_P.2.M,X712_P.3.M,10-19,10-19,2011,2012,Palsa,Palsa,between
0.87629008,X711_P.2.M,X715_P1_10.14,10-19,10-19,2011,2015,Palsa,Palsa,between
0.68294831,X711_P.2.M,X715_P2_10.14,10-19,10-19,2011,2015,Palsa,Palsa,between
0.81853096,X711_P.2.M,X715_P3_10.14,10-19,10-19,2011,2015,Palsa,Palsa,between
0.80043285,X711_P.2.M,X716_P1_10.14,10-19,10-19,2011,2016,Palsa,Palsa,between
0.69933963,X711_P.2.M,X716_P2_10.14,10-19,10-19,2011,2016,Palsa,Palsa,between
0.72150141,X711_P.2.M,X716_P3_10.14,10-19,10-19,2011,2016,Palsa,Palsa,between
0.65642759,X711_P.2.M,X717_P1_10.14,10-19,10-19,2011,2017,Palsa,Palsa,between
0.69589526,X711_P.2.M,X717_P2_10.14,10-19,10-19,2011,2017,Palsa,Palsa,between
0.73885323,X711_P.2.M,X717_P3_10.14,10-19,10-19,2011,2017,Palsa,Palsa,between
0.82743789,X711_P.2.D,X711_P.3.D,30-39,30-39,2011,2011,Palsa,Palsa,within
0.67617243,X711_P.2.D,X712_P.1.D,30-39,30-39,2011,2012,Palsa,Palsa,between
0.84711125,X711_P.2.D,X712_P.2.D,30-39,30-39,2011,2012,Palsa,Palsa,between
0.58462874,X711_P.2.D,X712_P.3.D,30-39,30-39,2011,2012,Palsa,Palsa,between
0.84772416,X711_P.2.D,X713_P.1.X1,30-39,30-39,2011,2013,Palsa,Palsa,between
0.85183208,X711_P.2.D,X713_P.3.X1,30-39,30-39,2011,2013,Palsa,Palsa,between
0.86288557,X711_P.2.D,X714_P1_30.34,30-39,30-39,2011,2014,Palsa,Palsa,between
0.96346066,X711_P.2.D,X714_P3_30.34,30-39,30-39,2011,2014,Palsa,Palsa,between
0.99227234,X711_P.2.D,X715_P1_30.34,30-39,30-39,2011,2015,Palsa,Palsa,between
0.96255128,X711_P.2.D,X715_P3_30.34,30-39,30-39,2011,2015,Palsa,Palsa,between
0.91565887,X711_P.2.D,X716_P1_30.34,30-39,30-39,2011,2016,Palsa,Palsa,between
0.86817417,X711_P.2.D,X716_P2_30.34,30-39,30-39,2011,2016,Palsa,Palsa,between
0.75657375,X711_P.2.D,X716_P3_30.34,30-39,30-39,2011,2016,Palsa,Palsa,between
0.44039772,X711_P.3.S,X712_P.1.S,0-9,0-9,2011,2012,Palsa,Palsa,between
0.55390078,X711_P.3.S,X712_P.2.S,0-9,0-9,2011,2012,Palsa,Palsa,between
0.63354197,X711_P.3.S,X712_P.3.S,0-9,0-9,2011,2012,Palsa,Palsa,between
0.78894401,X711_P.3.S,X713_P.3.M,0-9,0-9,2011,2013,Palsa,Palsa,between
0.65121819,X711_P.3.S,X715_P1_1.5,0-9,0-9,2011,2015,Palsa,Palsa,between
0.51026367,X711_P.3.S,X715_P2_1.5,0-9,0-9,2011,2015,Palsa,Palsa,between
0.6223771,X711_P.3.S,X715_P3_1.5,0-9,0-9,2011,2015,Palsa,Palsa,between
0.49428434,X711_P.3.S,X716_P1_1.5,0-9,0-9,2011,2016,Palsa,Palsa,between
0.58212848,X711_P.3.S,X716_P2_1.5,0-9,0-9,2011,2016,Palsa,Palsa,between
0.83439849,X711_P.3.S,X716_P3_1.5,0-9,0-9,2011,2016,Palsa,Palsa,between
0.67843585,X711_P.3.S,X717_P2_1.5,0-9,0-9,2011,2017,Palsa,Palsa,between
0.37872221,X711_P.3.S,X717_P3_1.5,0-9,0-9,2011,2017,Palsa,Palsa,between
0.96403299,X711_P.3.M,X714_P1_20.24,20-29,20-29,2011,2014,Palsa,Palsa,between
