genome,specialisation,nitrogen_specialisation,sulfur_specialisation
20120600_P2M_5,generalist,NA,NA
20120600_P2M_7,macromolecule_degrader,NA,sulfur_oxidiser
20120600_P2M_8,generalist,NA,NA
20120600_P2M_9,generalist,NA,NA
20120600_P2S_3,macromolecule_degrader,NA,sulfur_oxidiser
20120600_P2S_4,generalist,NA,NA
20120600_P3D_1,fermenter,NA,sulfur_oxidiser
20120600_P3D_3,macromolecule_degrader,NA,NA
20120600_P3M_1,fermenter,NA,NA
20120600_P3M_10,fermenter,NA,NA
20120600_P3M_11,generalist,NA,NA
20120600_P3M_2,generalist,NA,NA
20120600_P3M_3,macromolecule_degrader,NA,NA
20120600_P3M_4,generalist,NA,sulfur_oxidiser
20120600_P3M_5,methanotroph,NA,NA
20120600_P3M_6,generalist,NA,NA
20120600_P3M_9,generalist,NA,sulfur_oxidiser
20120600_P3S_2,generalist,NA,NA
20120600_S1D_1,generalist,nitrogen_fixer,NA
20120600_S1D_7,generalist,NA,NA
20120600_S1S_4,fermenter,NA,NA
20120600_S2D_17,fermenter,NA,sulfur_oxidiser
20120600_S2D_6,macromolecule_degrader,nitrogen_fixer,NA
20120600_S2M_11,generalist,nitrogen_fixer,sulfur_oxidiser
20120600_S2M_9,generalist,NA,NA
20120600_S3D_1,generalist,NA,sulfur_oxidiser
20120600_S3D_7,fermenter,NA,NA
20120600_S3M_3,generalist,NA,NA
20120700_E1D_7,generalist,nitrogen_fixer,NA
20120700_E1X_1,macromolecule_degrader,NA,NA
20120700_E1X_4,methanogen,NA,NA
20120700_E2D_6,monomer_degrader,NA,NA
20120700_E2X_1,generalist,NA,sulfur_oxidiser
20120700_E3M_1,fermenter,NA,sulfate_reducer
20120700_E3M_2,generalist,NA,NA
20120700_E3M_5,methanogen,nitrogen_fixer,NA
20120700_E3X_7,fermenter,NA,NA
20120700_P1D_3,fermenter,NA,NA
20120700_P1D_9,macromolecule_degrader,NA,NA
20120700_P1M_1,macromolecule_degrader,NA,NA
20120700_P1M_6,generalist,NA,NA
20120700_P2D_1,generalist,NA,NA
20120700_P2D_10,macromolecule_degrader,NA,NA
20120700_P2D_11,fermenter,NA,sulfur_oxidiser
20120700_P2D_5,generalist,NA,NA
20120700_P2D_8,fermenter,NA,NA
20120700_P2M_1,fermenter,NA,NA
20120700_P2M_5,generalist,NA,NA
20120700_P3D_1,generalist,NA,NA
20120700_P3D_10,generalist,NA,sulfur_oxidiser
20120700_P3D_100,fermenter,NA,sulfur_oxidiser
20120700_P3D_101,generalist,NA,sulfur_oxidiser
20120700_P3D_102,generalist,NA,NA
20120700_P3D_105,generalist,NA,NA
20120700_P3D_108,generalist,NA,NA
20120700_P3D_11,generalist,NA,NA
20120700_P3D_110,macromolecule_degrader,NA,sulfur_oxidiser
20120700_P3D_112,generalist,nitrogen_fixer,NA
20120700_P3D_115,generalist,NA,sulfur_oxidiser
20120700_P3D_116,macromolecule_degrader,NA,sulfur_oxidiser
20120700_P3D_117,generalist,NA,NA
20120700_P3D_119,generalist,NA,NA
20120700_P3D_12,generalist,NA,NA
20120700_P3D_120,macromolecule_degrader,NA,NA
20120700_P3D_121,macromolecule_degrader,NA,sulfur_oxidiser
20120700_P3D_122,fermenter,NA,NA
20120700_P3D_123,fermenter,NA,NA
20120700_P3D_124,fermenter,nitrate_reducer,sulfur_oxidiser
20120700_P3D_125,fermenter,nitrate_reducer,sulfur_oxidiser
20120700_P3D_127,generalist,NA,NA
20120700_P3D_128,fermenter,nitrate_reducer,sulfur_oxidiser
20120700_P3D_129,generalist,NA,NA
20120700_P3D_13,generalist,NA,sulfur_oxidiser
20120700_P3D_130,macromolecule_degrader,NA,sulfur_oxidiser
20120700_P3D_131,generalist,NA,sulfate_reducer
20120700_P3D_132,generalist,NA,sulfur_oxidiser
20120700_P3D_134,fermenter,NA,NA
20120700_P3D_135,generalist,NA,sulfur_oxidiser
20120700_P3D_136,fermenter,NA,sulfur_oxidiser
20120700_P3D_137,fermenter,NA,NA
20120700_P3D_139,fermenter,NA,sulfate_reducer
20120700_P3D_14,generalist,NA,NA
20120700_P3D_140,generalist,NA,NA
20120700_P3D_141,fermenter,NA,NA
20120700_P3D_142,generalist,NA,NA
20120700_P3D_143,fermenter,NA,NA
20120700_P3D_146,generalist,NA,NA
20120700_P3D_148,methanotroph,nitrogen_fixer,sulfur_oxidiser
20120700_P3D_15,generalist,NA,NA
20120700_P3D_17,generalist,NA,NA
20120700_P3D_19,fermenter,nitrate_reducer,sulfate_reducer
20120700_P3D_2,generalist,denitrifier,sulfur_oxidiser
20120700_P3D_20,generalist,nitrogen_fixer,NA
20120700_P3D_21,generalist,NA,NA
20120700_P3D_22,macromolecule_degrader,NA,NA
20120700_P3D_23,fermenter,NA,NA
20120700_P3D_24,fermenter,nitrogen_fixer,NA
20120700_P3D_25,fermenter,NA,NA
20120700_P3D_26,generalist,NA,NA
20120700_P3D_27,fermenter,NA,sulfur_oxidiser
20120700_P3D_3,generalist,NA,NA
20120700_P3D_31,generalist,NA,NA
20120700_P3D_32,fermenter,NA,sulfur_oxidiser
20120700_P3D_33,macromolecule_degrader,NA,sulfur_oxidiser
20120700_P3D_34,generalist,NA,sulfur_oxidiser
20120700_P3D_35,generalist,NA,NA
20120700_P3D_36,macromolecule_degrader,NA,NA
20120700_P3D_37,macromolecule_degrader,NA,sulfur_oxidiser
20120700_P3D_38,generalist,NA,sulfur_oxidiser
20120700_P3D_39,generalist,NA,sulfur_oxidiser
20120700_P3D_40,generalist,NA,NA
20120700_P3D_41,macromolecule_degrader,nitrogen_fixer,sulfur_oxidiser
20120700_P3D_43,macromolecule_degrader,NA,NA
20120700_P3D_44,homoacetogen,NA,NA
20120700_P3D_46,fermenter,NA,sulfur_oxidiser
20120700_P3D_47,fermenter,NA,sulfur_oxidiser
20120700_P3D_48,fermenter,NA,NA
20120700_P3D_49,generalist,NA,sulfur_oxidiser
20120700_P3D_5,macromolecule_degrader,NA,sulfur_oxidiser
20120700_P3D_50,macromolecule_degrader,NA,NA
20120700_P3D_51,macromolecule_degrader,NA,sulfur_oxidiser
20120700_P3D_54,generalist,NA,sulfur_oxidiser
20120700_P3D_55,generalist,NA,NA
20120700_P3D_57,macromolecule_degrader,NA,sulfur_oxidiser
20120700_P3D_58,generalist,NA,sulfur_oxidiser
